"","yr","qtr","pr"
"1","1998","0.375",2.60428880910465
"2","1999","0.375",1.229078848715
"3","2000","0.375",1.36500934163017
"4","2001","0.375",1.61867979954047
"5","2002","0.375",1.28401445977161
"6","2003","0.375",1.28244699477578
"7","2004","0.375",1.0071949426226
"8","2005","0.375",1.19556084284612
"9","2006","0.375",1.41921472302975
"10","2007","0.375",1.04042730215004
"11","2008","0.375",1.85367285211175
"12","2009","0.375",1.03188365291245
"13","2010","0.375",0.519447143439938
"14","2011","0.375",1.44472878232632
"15","2012","0.375",0.707379371379202
"16","2013","0.375",0.85973630946366
"17","2014","0.375",0.961195086271909
"18","2015","0.375",0.669727426457769
"19","2016","0.375",0.731273601988514
"20","2017","0.375",0.794071989121035
"21","2018","0.375",0.866769537929674
